"","year","c_regin","regin","x1","x2","x3","x28","x4","x5","x6","x5.","x6.","x7","x8","x9","x10","x11","x13","x14","x15","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","id","critic_set1","critic_set2","entropy_set1","entropy_set2","combine_set1","combine_set2"
"240",2018,"江西","z36",20.86943193,77.1029,576.7,99.09,7021,1.356208734,1,1.958912075,2,53.40000534,393.999939,292.999939,3515,137,11.9299984,0.54,113,626590.9375,144,379,57,2321.699707,3275.500244,854.0001221,3.759999752,159461.0781,0.280000001,79.1,"z36",0.080078764891694,0.0757865747202778,0.0800649698205214,0.0743869805665763,0.0800720418112998,0.0751038061103335
"241",2019,"江西","z36",21.61699656,156.6758,526.9,99.14,7659,1.360301973,1,1.981317149,2,55.99899292,393.0000305,307.9999695,4072,180,6.760000229,0.57,114,614660.25,143.0000305,337,89,2827.059082,85548.07813,987,4,234404.8906,0.370000005,87.6,"z36",0.0891985045185223,0.0847600500373059,0.089344444171109,0.0835302898641654,0.0892696287631723,0.0841601320955515
"242",2020,"江西","z36",25.44963874,130.7,528.27,99.51,8080,1.339703492,1,2.153897957,2,58.72447586,469.0000305,301.999939,4557,257,6.769999981,0.63,114,687073.125,171.9999695,380,77,3442.418701,2234307,1096.999756,4.260000229,230014.0781,0.350000024,120.35,"z36",0.0937117481703982,0.0900542172019939,0.0942855449969201,0.0893693987947786,0.0939913902357695,0.0897201399905951
"243",2021,"江西","z36",26.75655222,57.2587,500.78,99.63,7233,1.314756672,1,0.412444137,2,61.58260345,559.6972046,296.1167908,5390,385,78.8400116,0.69,114,768016.9375,206.881012,395,82,4191.722656,58354648,1219.258911,4.536900043,225705.5,0.331081092,117.32,"z36",0.112520260836556,0.101670812616385,0.116158431428732,0.103468251358637,0.114293337109452,0.102547663057823
"244",2013,"河南","z41",44.57411381,36.7511,369.1,98.11,8369,1.2231925,1,0,1,84.80001068,2455.999756,173.9999847,1576,76,402.499939,0.24,157,2095459.75,222.0000305,429,139,2839.599854,3047.400391,934.5846558,3,161446.0313,0.289999992,80.78,"z41",0.108959416898577,0.0946627648746676,0.10985036046073,0.0926788681693791,0.109393621631566,0.0936949540331028
"245",2014,"河南","z41",51.03255581,63.2911,452.85,98.26,8878,1.20425718,1,0.245218244,1,91.45146179,2403.000488,180.0000153,1858,87,29.62999725,0.25,157,2043967.125,247.9999847,598,140,3106.126709,3497.528809,1019.394226,3,173941.9375,0.289999992,91.16,"z41",0.108351428916285,0.0952147581950756,0.107122005402889,0.0913011694580242,0.107752264691927,0.0933055793557503
"246",2015,"河南","z41",92.0383959,103.2,586.75,98.43,9203,1.351460929,1,1.195616074,1,98.62463379,2700.999512,173.0000153,2874,114,553.000061,0.26,158,2101397.5,247.9999847,824,150,3397.669922,4014.145508,1111.899902,3,206034.0938,0.299999982,105.38,"z41",0.131674001560429,0.120464970028814,0.134979921237381,0.121037347324638,0.133285154086347,0.120744194723773
"247",2016,"河南","z41",109.0153928,117.7483,777.24,98.64,9444,1.232275944,1,0.888987665,1,106.3604507,2851.000488,176.0000153,3182,169,203.6800232,0.28,158,1963554.25,270.0000305,1006,150,3716.577637,4607.070801,1212.800049,3,222775.9688,0.299999982,97.33,"z41",0.131782897518792,0.120413480629378,0.132826597352576,0.11898085747373,0.132291548601643,0.119714599373002
"248",2017,"河南","z41",118.7272573,123.1752,804.42,98.84,9757,1.163449163,1,3.248670998,1,114.7030334,2830.999756,180.9999542,3603,164,210.1299896,0.3,158,2001997.375,334,1671,157,4065.418457,5287.57666,1341.800171,3.009999752,251486.9375,0.310000002,97.52,"z41",0.145247491140889,0.143596807209103,0.145554976887637,0.142594968909067,0.145397345488837,0.143108077142822
"249",2018,"河南","z41",131.0626711,207.48,811.7,99.04,10339,1.063444656,1,3.157195081,1,123.6999893,2582.999512,171,4078,273,302.5100098,0.33,160,2065508.25,334,2017,155,4447.001465,6068.599609,2142.500244,4.290000439,277634.9375,0.299999982,103.04,"z41",0.159407975371481,0.158030053261846,0.162275633055058,0.159751038633432,0.160805539248358,0.158869607204526
"250",2019,"河南","z41",147.8915226,313.5248,784.9,99.47,10445,1.183459307,1,3.619016286,1,116.8377457,2408.000244,174.9999847,4112,228,14.28999996,0.35,164,2102574,340,2221,191,4616.717773,130064.0469,2251.000488,4.190000057,318107.9375,0.310000002,127.87,"z41",0.165062150287139,0.164298468116611,0.166736219658681,0.164738446484974,0.16587801436131,0.164513104208208
